time,surge,heave,pitch,fair1,fair2,fair3,power,surge_tur,heave_tur,pitch_tur,fair1_tur,fair2_tur,fair3_tur,power_tur
0,-2.71E-20,0,0,2429670,2429510,2429510,0,-2.71E-20,0,0,2429670,2429510,2429510,0
0.02,6.16E-07,6.73E-06,-3.65E-07,2427680,2431920,2432280,0.01422012,6.89E-07,6.76E-06,-5.98E-07,2425700,2433280,2432920,0.012936019
0.04,3.05E-06,1.61E-05,-1.46E-06,2424080,2432080,2432740,0.02875816,3.49E-06,1.62E-05,-2.40E-06,2420330,2434640,2433960,0.026147065
0.06,8.42E-06,6.77E-06,-3.27E-06,2419990,2431500,2432450,0.043613585,9.78E-06,7.12E-06,-5.40E-06,2414510,2435240,2434240,0.039616775
0.08,1.78E-05,-3.07E-05,-5.80E-06,2415640,2430510,2431750,0.057474405,2.10E-05,-3.00E-05,-9.61E-06,2408420,2435450,2434120,0.052057172
0.1,3.22E-05,-0.000100291,-9.05E-06,2411400,2429510,2431020,0.07098228,3.82E-05,-9.91E-05,-1.50E-05,2402420,2435660,2433950,0.06411454
0.12,5.19E-05,-0.000201158,-1.30E-05,2407510,2428720,2430490,0.08417864,6.20E-05,-0.000199401,-2.17E-05,2396750,2436100,2433990,0.075784026
0.14,7.71E-05,-0.000329648,-1.76E-05,2404050,2428230,2430240,0.09706274,9.26E-05,-0.000327179,-2.96E-05,2391590,2436780,2434290,0.087163597
0.16,0.000107465,-0.000481694,-2.30E-05,2400970,2427960,2430200,0.109633743,0.00012977,-0.000478428,-3.87E-05,2386880,2437630,2434780,0.098257035
0.18,0.000142624,-0.000654457,-2.90E-05,2398190,2427800,2430260,0.121890719,0.000172952,-0.000650336,-4.90E-05,2382550,2438520,2435330,0.109069203
0.2,0.000182103,-0.00084691,-3.57E-05,2395600,2427620,2430290,0.133832644,0.00022163,-0.000841893,-6.05E-05,2378530,2439320,2435810,0.119608036
0.22,0.000225548,-0.001059538,-4.30E-05,2393180,2427370,2430220,0.145458419,0.00027538,-0.001053592,-7.31E-05,2374810,2439960,2436130,0.129872274
0.24,0.00027277,-0.001293591,-5.10E-05,2390940,2427020,2430040,0.156766886,0.000333976,-0.001286679,-8.69E-05,2371300,2440510,2436330,0.139721988
0.26,0.000323754,-0.001550327,-5.96E-05,2388930,2426620,2429770,0.167756841,0.000397427,-0.001542406,-1.02E-04,2368080,2440980,2436410,0.149153688
0.28,0.000378625,-0.001830535,-6.88E-05,2387230,2426210,2429480,0.178427044,0.000465933,-0.00182155,-1.18E-04,2365230,2441390,2436430,0.158217389
0.3,0.00043759,-0.002134404,-7.86E-05,2385860,2425830,2429190,0.188776225,0.0005398,-0.002124295,-1.35E-04,2362820,2441770,2436430,0.166963757
0.32,0.000500869,-0.00246167,-8.90E-05,2384850,2425520,2428940,0.19880341,0.000619347,-0.002450371,-1.54E-04,2360870,2442140,2436430,0.175395904
0.34,0.000568643,-0.002811866,-1.00E-04,2384180,2425260,2428730,0.208507284,0.000704826,-0.002799309,-1.73E-04,2359440,2442440,2436410,0.183635681
0.36,0.000641024,-0.003184567,-0.000111558,2383820,2425060,2428540,0.217886451,0.000796363,-0.00317068,-0.000194076,2358490,2442670,2436370,0.191679507
0.38,0.000718046,-0.003579525,-0.000123696,2383730,2424890,2428380,0.226939474,0.000893958,-0.003564229,-0.000215931,2357970,2442820,2436300,0.199514261
0.4,0.000799679,-0.003996686,-0.000136387,2383880,2424740,2428210,0.235664874,0.000997511,-0.003979902,-0.000238871,2357840,2442880,2436190,0.207124798
0.42,0.000885856,-0.004436135,-0.000149617,2384230,2424600,2428050,0.24406113,0.00110687,-0.004417786,-0.000262871,2358060,2442850,2436040,0.214506505
0.44,0.000976497,-0.00489801,-0.000163376,2384750,2424470,2427880,0.252126678,0.001221871,-0.004878023,-0.000287909,2358550,2442750,2435860,0.221669224
